FID,REPORTDATE,BLOCKADD,OFFENSE
13032,2010-11-18 00:00:00,700 Block Pearl St,Theft From Vehicle
13033,2013-01-05 00:00:00,1900 Block Goss St,Theft From Vehicle
13034,2012-05-02 00:00:00,Crime occurred at an unknown location,Sex Assault
13035,2010-11-18 00:00:00,4900 Block Moorhead Ave,Burglary
13036,2010-11-18 00:00:00,500 Block University Ave,Trespassing
13037,2011-03-15 00:00:00,3100 Block Broadway,Theft From Vehicle
13038,2010-11-18 00:00:00,2700 Block Baseline Rd,Incident
13039,2010-11-18 00:00:00,1400 Block Folsom St,Auto Theft
13040,2010-11-18 00:00:00,Broadway & Pleasant St,Vandalism
13041,2010-11-18 00:00:00,4600 Block Moorhead Ave,Vandalism
13042,2011-12-23 00:00:00,1200 Block Walnut St,Auto Theft
13043,2010-11-18 00:00:00,1100 Block University Ave,Vandalism
13044,2011-06-07 00:00:00,4th St & Arapahoe Ave,Auto Theft
13045,2010-11-18 00:00:00,3300 Block St Vincent Pl,Vandalism
13046,2010-11-19 00:00:00,4400 Block Moorhead Ave,Burglary
13047,2012-07-24 00:00:00,1200 Block Gillaspie Dr,Vandalism
13048,2012-10-02 00:00:00,2500 Block Walnut St,Trespassing
13049,2010-11-21 00:00:00,18th St & Cascade Ave,Vandalism
13050,2012-07-07 00:00:00,4400 Block Broadway,Burglary
13051,2010-11-22 00:00:00,1400 Block Spruce St,Trespassing
13052,2010-11-22 00:00:00,1400 Block Spruce St,Trespassing
13053,2010-11-22 00:00:00,4900 Block Pearl East Cr,Trespassing
13054,2010-11-22 00:00:00,1100 Block 13th St,Burglary
13055,2010-11-22 00:00:00,4800 Block Riverbend Rd,Incident
13056,2012-06-09 00:00:00,1400 Block Canyon Blvd,Trespassing
13057,2010-11-22 00:00:00,2700 Block Baseline Rd,Trespassing
13058,2010-11-22 00:00:00,2999 Block Pearl St,Trespassing
13059,2012-10-02 00:00:00,3200 Block E Euclid Ave,Burglary
13060,2010-11-22 00:00:00,19th St & Marine St,Vandalism
13061,2010-11-22 00:00:00,1100 Block Pleasant St,Vandalism
13062,2012-04-16 00:00:00,700 Block Gaptor Rd,Burglary
13063,2010-11-23 00:00:00,1600 Block Pearl St,Theft From Vehicle
13064,2010-11-23 00:00:00,400 Block Manhatan Dr,Burglary
13065,2010-11-23 00:00:00,1000 Block Canyon Blvd,Trespassing
13066,2010-11-03 00:00:00,1000 Block Hawthorne Ave,Incident
13067,2010-12-01 00:00:00,3100 Block Madison Ave,Burglary
13068,2010-12-01 00:00:00,Jay Rd & Nevis St,Vandalism
13069,2010-12-02 00:00:00,1600 Block 9th St,Vandalism
13070,2010-12-02 00:00:00,1100 Block 13th St,Trespassing
13071,2010-12-02 00:00:00,1900 Block 13th St,Vandalism
13072,2010-12-02 00:00:00,1000 Block 13th St,Trespassing
13073,2011-08-05 00:00:00,3700 Block Iris Ave,Vandalism
13074,2010-12-02 00:00:00,5757 Block Arapahoe Av,Burglary
13075,2010-12-02 00:00:00,900 Block Arapahoe Ave,Vandalism
13076,2011-05-19 00:00:00,3900 Block E Aurora Ave,Vandalism
13077,2011-05-19 00:00:00,800 Block 29th St,Theft From Vehicle
13078,2011-05-19 00:00:00,3000 Block Valmont Rd,Burglary
13079,2011-05-19 00:00:00,900 Block Broadway,Trespassing
13080,2012-10-24 00:00:00,2500 Block Broadway,Incident
13081,2011-05-19 00:00:00,6500 Block Gunpark Dr,Vandalism
13082,2012-11-26 00:00:00,14th St & Euclid Ave,Vandalism
13083,2011-05-23 00:00:00,1800 Block 22nd St,Theft From Vehicle
13084,2011-05-22 00:00:00,1100 Block University Ave,Theft From Vehicle
13085,2011-11-13 00:00:00,300 Block Spruce St,Vandalism
13086,2011-05-22 00:00:00,1000 Block University Ave,Theft From Vehicle
13087,2011-09-09 00:00:00,1700 Block 15th St,Trespassing
13088,2012-11-19 00:00:00,7th St & Pearl St,Assault
13089,2012-03-15 00:00:00,400 Block S 40th St,Sex Assault
13090,2012-04-05 00:00:00,3600 Block Broadway,Burglary
13091,2011-05-23 00:00:00,2300 Block Hawthorn Ave,Burglary
13092,2011-05-01 00:00:00,1700 Block Foothills Pkwy,Trespassing
13093,2011-05-20 00:00:00,1100 Block Ithica Dr,Theft From Vehicle
13094,2011-05-21 00:00:00,3100 Block 34th St,Vandalism
13095,2011-05-21 00:00:00,1700 Block 14th St,Trespassing
13096,2011-10-17 00:00:00,6500 Block Lookout Rd,Theft From Vehicle
13097,2011-05-21 00:00:00,1100 Block Grandview Ave,Burglary
13098,2011-05-21 00:00:00,1200 Block Elder Ave,Vandalism
13099,2012-08-01 00:00:00,4400 Block Broadway,Vandalism
13100,2011-05-21 00:00:00,1700 Block 14th St,Trespassing
13101,2011-05-21 00:00:00,1200 Block Alpine Ave,Vandalism
13102,2011-05-21 00:00:00,500 Block 30th St,Vandalism
13103,2011-05-21 00:00:00,900 Block Marine St,Vandalism
13104,2011-05-22 00:00:00,5600 Block Pennsylvania Av,Vandalism
13105,2011-05-22 00:00:00,1400 Block Broadway,Theft From Vehicle
13106,2011-05-22 00:00:00,1100 Block Grandview Ave,Theft From Vehicle
13107,2011-05-22 00:00:00,3100 Block 7th St,Trespassing
13108,2011-05-22 00:00:00,5600 Block Cascade Pl,Vandalism
13109,2011-05-21 00:00:00,1300 Block Arapahoe Ave,Vandalism
13110,2011-11-06 00:00:00,900 Block 14th St,Vandalism
13111,2011-05-21 00:00:00,300 Block 32nd St,Vandalism
13112,2012-11-27 00:00:00,1000 Block 13th St,Vandalism
13113,2011-05-20 00:00:00,1000 Block Canyon Bv,Assault
13114,2011-05-25 00:00:00,1000 Block 12th St,Vandalism
13115,2011-05-22 00:00:00,5400 Block Spine Rd,Vandalism
13116,2011-05-23 00:00:00,9th St & Mapleton Ave,Incident
13117,2011-11-26 00:00:00,1000 Block 36th St,Burglary
13118,2011-05-23 00:00:00,2584 Block Baseline Rd,Vandalism
13119,2011-05-24 00:00:00,17th St & Cascade Ave,Vandalism
13120,2011-05-24 00:00:00,1300 Block Mapleton Ave,Theft From Vehicle
13121,2011-05-24 00:00:00,2700 Block Moorhead Ave,Vandalism
13122,2011-05-27 00:00:00,6th St & Baseline Rd,Theft From Vehicle
13123,2011-05-29 00:00:00,1300 Block Canyon Bv,Indecent Exposure
13124,2011-05-30 00:00:00,800 Block Pearl St,Vandalism
13125,2011-05-31 00:00:00,1800 Block Folsom St,Burglary
13126,2011-05-31 00:00:00,6600 Block Gunpark Dr,Incident
13127,2012-11-28 00:00:00,1400 Block Walnut St,Trespassing
13128,2011-08-26 00:00:00,8th St & University Ave,Vandalism
13129,2011-05-31 00:00:00,900 Block Grandview Ave,Burglary
13130,2011-09-27 00:00:00,2600 Block Mapleton Ave,Burglary
13131,2011-06-06 00:00:00,1000 Block 12th St,Burglary
13132,2011-06-01 00:00:00,1100 Block Balsam Ave,Trespassing
13133,2011-06-01 00:00:00,1000 Block Gillaspie Dr,Sex Assault
13134,2011-06-01 00:00:00,3500 Block Nottingham Ct,Auto Theft
13135,2011-06-02 00:00:00,3300 Block Oneal Cr,Theft From Vehicle
13136,2011-06-02 00:00:00,1600 Block Canyon Bv,Vandalism
13137,2011-05-23 00:00:00,900 Block 18th St,Robbery
13138,2011-05-27 00:00:00,3100 Block Airport Rd,Assault
13139,2011-08-21 00:00:00,3900 Block Broadway,Incident
13140,2011-05-28 00:00:00,2900 Block Pearl St,Vandalism
13141,2012-05-16 00:00:00,1800 Block Goss St,Burglary
13142,2012-05-16 00:00:00,9th St & Pleasant St,Vandalism
13143,2012-05-15 00:00:00,18th St & Grove St,Vandalism
13144,2012-05-18 00:00:00,1000 Block 12th St,Vandalism
13145,2012-05-19 00:00:00,700 Block 29th St,Trespassing
13146,2012-05-19 00:00:00,1900 Block 15th St,Incident
13147,2012-05-19 00:00:00,2500 Block 23rd St,Theft From Vehicle
13148,2012-05-21 00:00:00,4100 Block Eleuthera Ct,Vandalism
13149,2012-05-18 00:00:00,2900 Block E College Ave,Vandalism
13150,2012-05-21 00:00:00,400 Block Highland Ave,Theft From Vehicle
13151,2012-05-21 00:00:00,900 Block 28th Frontage Rd,Theft From Vehicle
13152,2012-05-18 00:00:00,30th St & Baseline Rd,Assault
13153,2012-05-22 00:00:00,900 Block Pleasant St,Vandalism
13154,2012-05-22 00:00:00,400 Block College Ave,Burglary
13155,2012-05-23 00:00:00,1000 Block 35th St,Trespassing
13156,2012-05-23 00:00:00,1100 Block College Ave,Vandalism
13157,2012-05-23 00:00:00,3300 Block Talisman Ct,Theft From Vehicle
13158,2012-05-25 00:00:00,2200 Block Pearl St,Incident
13159,2012-05-23 00:00:00,2800 Block Kalmia Ave,Assault
13160,2012-05-30 00:00:00,800 Block Pearl St,Trespassing
13161,2012-05-30 00:00:00,700 Block 28th St,Burglary
13162,2012-06-05 00:00:00,2000 Block Arapahoe Ave,Vandalism
13163,2012-06-05 00:00:00,1400 Block Broadway,Trespassing
13164,2012-06-05 00:00:00,600 Block Tantra Dr,Burglary
13165,2012-06-05 00:00:00,900 Block 28th St,Incident
13166,2012-06-05 00:00:00,6500 Block Gunpark Dr,Vandalism
13167,2012-06-05 00:00:00,1400 Block Quince Ave,Sex Assault
13168,2012-06-05 00:00:00,2200 Block E Grove Cir,Trespassing
13169,2012-06-07 00:00:00,400 Block Harvard Ln,Theft From Vehicle
13170,2012-10-16 00:00:00,3800 Block Northbrook Dr,Burglary
13171,2012-06-08 00:00:00,1600 Block 9th St,Trespassing
13172,2012-06-09 00:00:00,1200 Block 11th St,Burglary
13173,2012-06-09 00:00:00,15th St & Pearl St,Theft Of Car Parts
13174,2012-06-10 00:00:00,3200 Block Arapahoe Ave,Trespassing
13175,2012-06-10 00:00:00,1300 Block Arapahoe Ave,Trespassing
13176,2013-01-05 00:00:00,1600 Block 9th St,Burglary
13177,2017-05-25 00:00:00,2000 Block 13th St,Vandalism
13178,2012-06-12 00:00:00,2500 Block 28th St,Trespassing
13179,2012-06-13 00:00:00,2100 Block Walnut St,Burglary
13180,2012-06-13 00:00:00,2600 Block Mapleton Ave,Sex Assault
13181,2012-06-13 00:00:00,800 Block Chinle Ave,Sex Assault
13182,2012-06-13 00:00:00,3000 Block Edison Ct,Auto Theft
13183,2012-06-13 00:00:00,1400 Block Canyon Blvd,Trespassing
13184,2012-06-17 00:00:00,3200 Block 30th St,Theft From Vehicle
13185,2012-06-18 00:00:00,1500 Block 30th St,Vandalism
13186,2012-06-19 00:00:00,2800 Block Kalmia Ave,Theft From Vehicle
13187,2012-06-19 00:00:00,1400 Block Canyon Blvd,Trespassing
13188,2012-06-19 00:00:00,2600 Block Mapleton Ave,Incident
13189,2012-06-19 00:00:00,1400 Block Canyon Blvd,Trespassing
13190,2012-06-19 00:00:00,19th St & Baseline Rd,Vandalism
13191,2012-06-20 00:00:00,1900 Block Arapahoe Ave,Vandalism
13192,2012-06-20 00:00:00,2200 Block Canyon Blvd,Trespassing
13193,2012-06-20 00:00:00,Crime occurred at an unknown location,Incident
13194,2012-06-20 00:00:00,6600 Block State Hwy 119,Vandalism
13195,2012-06-20 00:00:00,3100 Block Madison Ave,Burglary
13196,2012-06-20 00:00:00,2100 Block Baseline Rd,Assault
13197,2012-06-21 00:00:00,700 Block Marine St,Burglary
13198,2012-06-21 00:00:00,2900 Block Baseline Rd,Trespassing
13199,2012-06-21 00:00:00,3300 Block 28th St,Trespassing
13200,2012-06-21 00:00:00,1000 Block Pleasant St,Burglary
13201,2012-06-21 00:00:00,4th St & Mapleton Ave,Auto Theft
13202,2012-06-28 00:00:00,900 Block Walnut St,Auto Theft
13203,2012-06-28 00:00:00,900 Block Walnut St,Theft From Vehicle
13204,2012-06-29 00:00:00,2600 Block Thornbird Pl,Incident
13205,2012-06-29 00:00:00,100 Block Arapahoe Ave,Theft From Vehicle
13206,2013-05-09 00:00:00,1200 Block Canyon Blvd,Trespassing
13207,2013-05-15 00:00:00,1100 Block Orange Pl,Incident
13208,2013-05-15 00:00:00,1100 Block 13th St,Trespassing
13209,2013-05-15 00:00:00,900 Block 11th St,Trespassing
13210,2013-05-06 00:00:00,1000 Block Gilbert St,Auto Theft
13211,2013-05-14 00:00:00,4300 Block Ludlow St,Theft From Vehicle
13212,2013-05-13 00:00:00,4600 Block Talbot Dr,Vandalism
13213,2013-05-14 00:00:00,3700 Block Talisman Pl,Vandalism
13214,2013-05-14 00:00:00,900 Block Pleasant St,Burglary
13215,2013-05-14 00:00:00,2300 Block 30th St,Trespassing
13216,2013-05-14 00:00:00,5400 Block Spine Rd,Burglary
13217,2013-04-08 00:00:00,17th St & University Ave,Vandalism
13218,2013-05-11 00:00:00,1500 Block Broadway,Vandalism
13219,2013-05-13 00:00:00,1400 Block Walnut St,Incident
13220,2013-05-08 00:00:00,1100 Block Oakdale Pl,Sex Assault
13221,2013-05-05 00:00:00,1600 Block 28th St,Theft From Vehicle
13222,2013-05-15 00:00:00,6500 Block Odell Pl,Theft Of Car Parts
13223,2013-05-15 00:00:00,1900 Block Spruce St,Burglary
13224,2013-05-15 00:00:00,4700 Block Walnut St,Vandalism
13225,2013-05-15 00:00:00,1700 Block Exposition Dr,Vandalism
13226,2013-05-15 00:00:00,2900 Block Bixby Ave,Burglary
13227,2013-05-15 00:00:00,2700 Block Arapahoe Ave,Trespassing
13228,2013-05-11 00:00:00,3300 Block 28th St,Trespassing
13229,2013-05-17 00:00:00,4800 Block Broadway,Assault
13230,2013-05-17 00:00:00,2200 Block E Goss Cir,Vandalism
13231,2013-05-16 00:00:00,1500 Block 9th St,Vandalism
13232,2013-05-23 00:00:00,900 Block College Ave,Assault
13233,2013-05-29 00:00:00,1100 Block Pearl St,Vandalism
13234,2013-05-29 00:00:00,4500 Block 19th St,Vandalism
13235,2013-04-12 00:00:00,2700 Block Mapleton Ave,Auto Theft
13236,2013-01-28 00:00:00,3000 Block Walnut St,Auto Theft
13237,2013-05-04 00:00:00,Martin Dr & Moorhead Ave,Auto Theft
13238,2013-05-29 00:00:00,800 Block 20th St,Vandalism
13239,2013-06-03 00:00:00,4900 Block Twin Lakes Rd,Theft From Vehicle
13240,2013-06-03 00:00:00,800 Block 15th St,Trespassing
13241,2013-06-03 00:00:00,4500 Block 19th St,Vandalism
13242,2013-06-03 00:00:00,2700 Block Juniper Ave,Vandalism
13243,2013-06-03 00:00:00,900 Block 14th St,Vandalism
13244,2013-06-03 00:00:00,5300 Block Manhattan Cir,Vandalism
13245,2013-05-20 00:00:00,1700 Block Walnut St,Trespassing
13246,2013-05-31 00:00:00,1800 Block 22nd St,Vandalism
13247,2013-06-04 00:00:00,1300 Block College Ave,Vandalism
13248,2013-06-04 00:00:00,800 Block Laramie Blvd,Vandalism
13249,2013-06-04 00:00:00,1400 Block Lehigh St,Sex Assault
13250,2013-06-04 00:00:00,3200 Block 6th St,Vandalism
13251,2013-06-04 00:00:00,4600 Block 18th St,Burglary
13252,2013-06-04 00:00:00,1000 Block University Ave,Incident
13253,2013-06-04 00:00:00,3100 Block Ouray St,Burglary
13254,2013-06-04 00:00:00,3600 Block Conifer Ct,Theft From Vehicle
13255,2013-06-04 00:00:00,1500 Block Eisenhower Dr,Vandalism
13256,2013-05-17 00:00:00,1100 Block Lincoln Pl,Motorcycle Theft
13257,2013-05-19 00:00:00,2200 Block Floral Dr,Theft From Vehicle
13258,2013-05-19 00:00:00,4500 Block 19th St,Incident
13259,2013-05-18 00:00:00,1900 Block Alpine Ave,Theft From Vehicle
13260,2013-05-20 00:00:00,1100 Block College Ave,Vandalism
13261,2013-05-20 00:00:00,800 Block 28th St,Recovery
13262,2013-05-20 00:00:00,200 Block 31st St,Burglary
13263,2013-05-20 00:00:00,2800 Block Kalmia Ave,Trespassing
13264,2013-05-20 00:00:00,1400 Block Greenbriar Blvd,Theft From Vehicle
13265,2013-05-20 00:00:00,10th St & Pennsylvania Ave,Burglary
13266,2013-05-22 00:00:00,3900 Block Apache Rd,Burglary
13267,2013-05-22 00:00:00,2500 Block Mapleton Ave,Theft From Vehicle
13268,2013-05-22 00:00:00,2700 Block Moorhead Ave,Sex Assault
13269,2013-05-22 00:00:00,1500 Block Greenbriar Blvd,Trespassing
13270,2013-05-22 00:00:00,2500 Block Mapleton Ave,Theft From Vehicle
13271,2010-12-02 00:00:00,2500 Block Taft Dr,Theft From Vehicle
13272,2010-12-02 00:00:00,4200 Block Grinnell Ave,Incident
13273,2010-11-22 00:00:00,800 Block 14th St,Vandalism
13274,2010-11-22 00:00:00,2700 Block Valmont Rd,Vandalism
13275,2010-11-24 00:00:00,3000 Block Arnett St,Burglary
13276,2010-11-24 00:00:00,2700 Block Valmont Rd,Vandalism
13277,2010-11-24 00:00:00,3800 Block 26th St,Theft From Vehicle
13278,2010-11-24 00:00:00,2800 Block 15th St,Vandalism
13279,2010-11-24 00:00:00,2500 Block Agate Rd,Theft From Vehicle
13280,2011-09-11 00:00:00,1000 Block Pennsylvania Ave,Burglary
13281,2010-11-24 00:00:00,2500 Block Meadow Ave,Theft From Vehicle
13282,2010-11-25 00:00:00,2100 Block 13th St,Trespassing
13283,2010-11-26 00:00:00,800 Block Pearl St,Trespassing
13284,2010-11-26 00:00:00,1700 Block 28th St,Burglary
13285,2010-11-26 00:00:00,2999 Block Pearl St,Trespassing
13286,2012-09-26 00:00:00,800 Block W Moorhead Cir,Vandalism
13287,2010-11-26 00:00:00,4900 Block Thunderbird Cr,Burglary
13288,2010-12-31 00:00:00,2600 Block Pine St,Burglary
13289,2010-11-26 00:00:00,1000 Block Pearl St,Trespassing
13290,2010-11-27 00:00:00,1600 Block Grove St,Vandalism
13291,2010-11-27 00:00:00,3100 Block 34th St,Vandalism
13292,2011-09-25 00:00:00,3500 Block Arthur Ct,Auto Theft
13293,2011-06-17 00:00:00,1500 Block Pearl St,Trespassing
13294,2010-11-27 00:00:00,2400 Block Spruce St,Burglary
13295,2010-11-27 00:00:00,1100 Block 13th St,Trespassing
13296,2010-11-27 00:00:00,1000 Block Pearl St,Trespassing
13297,2010-11-28 00:00:00,1700 Block Folsom St,Vandalism
13298,2010-11-28 00:00:00,2375 Block Canyon Bv,Vandalism
13299,2012-11-26 00:00:00,1900 Block Goss St,Theft From Vehicle
13300,2010-11-28 00:00:00,1600 Block Grove St,Burglary
13301,2010-11-28 00:00:00,2200 Block Grove Cr,Burglary
13302,2010-11-23 00:00:00,800 Block 20th St,Burglary
13303,2010-11-29 00:00:00,500 Block 27th Way,Theft From Vehicle
13304,2017-12-22 00:00:00,3500 Block 28th St,Assault
13305,2010-11-29 00:00:00,1800 Block Pearl St,Vandalism
13306,2010-11-29 00:00:00,2100 Block 32nd St,Vandalism
13307,2010-11-29 00:00:00,4800 Block 63rd St,Incident
13308,2010-12-31 00:00:00,4400 Block Applewood Ct,Theft From Vehicle
13309,2010-11-29 00:00:00,2200 Block 28th St,Vandalism
13310,2010-11-29 00:00:00,300 Block S 39th St,Burglary
13311,2010-11-29 00:00:00,4900 Block Thunderbird Cr,Theft From Vehicle
13312,2012-07-06 00:00:00,2020 Block Arapahoe Av,Incident
13313,2011-05-13 00:00:00,3300 Block 30th St,Burglary
13314,2012-10-18 00:00:00,1600 Block 28th St,Trespassing
13315,2010-11-29 00:00:00,200 Block Seminole Dr,Burglary
13316,2010-11-29 00:00:00,600 Block Broadway,Vandalism
13317,2010-11-29 00:00:00,3300 Block 28th St,Trespassing
13318,2010-11-29 00:00:00,1400 Block Broadway,Vandalism
13319,2010-11-29 00:00:00,1700 Block Folsom St,Vandalism
13320,2010-11-29 00:00:00,3100 Block Madison Ave,Theft From Vehicle
13321,2010-11-30 00:00:00,1400 Block Spruce St,Trespassing
13322,2010-11-30 00:00:00,1900 Block Orchard Ave,Burglary
13323,2010-11-30 00:00:00,3100 Block Bucknell Ct,Vandalism
13324,2012-10-02 00:00:00,Arapahoe Ave & Broadway,Sex Assault
13325,2010-11-30 00:00:00,1900 Block 26th St,Vandalism
13326,2010-11-30 00:00:00,2200 Block Canyon Bv,Vandalism
13327,2010-11-30 00:00:00,500 Block Manhatan Dr,Theft Of Car Parts
13328,2012-05-29 00:00:00,1600 Block 30th St,Trespassing
13329,2010-12-01 00:00:00,3300 Block Moorhead Ave,Auto Theft
13330,2010-12-01 00:00:00,1500 Block Broadway,Burglary
13331,2010-12-01 00:00:00,1100 Block Woodland Ct,Theft From Vehicle
13332,2010-12-01 00:00:00,3100 Block Bucknell Ct,Vandalism
13333,2010-12-01 00:00:00,1100 Block University Ave,Theft From Vehicle
13334,2010-12-07 00:00:00,1800 Block Folsom St,Burglary
13335,2011-06-14 00:00:00,2200 Block Goss Cr,Burglary
13336,2011-05-28 00:00:00,4400 Block Broadway,Theft From Vehicle
13337,2011-05-28 00:00:00,900 Block College Ave,Trespassing
13338,2011-05-29 00:00:00,4600 Block Broadway,Vandalism
13339,2011-05-29 00:00:00,2600 Block Mapleton Ave,Trespassing
13340,2011-05-29 00:00:00,3700 Block Baseline Rd,Trespassing
13341,2011-05-29 00:00:00,900 Block 16th St,Auto Theft
13342,2011-05-29 00:00:00,1300 Block Mapleton Ave,Burglary
13343,2011-05-29 00:00:00,1100 Block Cedar Ave,Vandalism
13344,2011-05-29 00:00:00,3600 Block Table Mesa Dr,Theft From Vehicle
13345,2011-05-30 00:00:00,900 Block 13th St,Vandalism
13346,2011-05-30 00:00:00,1300 Block Pearl St,Robbery
13347,2011-05-30 00:00:00,1000 Block 11th St,Vandalism
13348,2011-05-30 00:00:00,8th St & Baseline Rd,Theft From Vehicle
13349,2011-05-30 00:00:00,8th St & Baseline Rd,Theft From Vehicle
13350,2011-05-30 00:00:00,1600 Block 30th St,Auto Theft
13351,2011-05-30 00:00:00,Lincoln Pl & Pennsylvania Ave,Vandalism
13352,2011-05-29 00:00:00,4800 Block Baseline Rd,Auto Theft
13353,2012-11-11 00:00:00,3700 Block Iris Ave,Auto Theft
13354,2011-06-01 00:00:00,4500 Block Broadway,Vandalism
13355,2011-06-01 00:00:00,1000 Block Lincoln Pl,Vandalism
13356,2011-06-01 00:00:00,1900 Block 14th St,Burglary
13357,2011-06-01 00:00:00,5500 Block Stonewall Pl,Vandalism
13358,2011-05-28 00:00:00,2900 Block Baseline Rd,Trespassing
13359,2011-06-01 00:00:00,1134 Block 13th St,Trespassing
13360,2011-06-02 00:00:00,4400 Block Broadway,Vandalism
13361,2011-06-02 00:00:00,3300 Block Oneal Cr,Theft From Vehicle
13362,2012-10-18 00:00:00,1000 Block Euclid Ave,Vandalism
13363,2011-06-02 00:00:00,1100 Block 12th St,Burglary
13364,2011-06-02 00:00:00,1500 Block 11th St,Vandalism
13365,2011-06-02 00:00:00,2800 Block Kalmia Ave,Burglary
13366,2011-08-05 00:00:00,1100 Block 13th St,Assault
13367,2011-10-30 00:00:00,800 Block 18th St,Vandalism
13368,2011-06-02 00:00:00,3100 Block Madison Ave,Trespassing
13369,2011-06-02 00:00:00,4500 Block 14th St,Trespassing
13370,2011-05-29 00:00:00,3300 Block 28th St,Trespassing
13371,2011-06-03 00:00:00,14th St & Walnut St,Vandalism
13372,2011-06-03 00:00:00,4500 Block 13th St,Vandalism
13373,2011-06-03 00:00:00,1100 Block 10th St,Vandalism
13374,2011-06-06 00:00:00,2200 Block Holyoke Dr,Burglary
13375,2011-06-06 00:00:00,1500 Block 9th St,Robbery
13376,2011-06-06 00:00:00,2600 Block Mapleton Ave,Theft From Vehicle
13377,2011-06-06 00:00:00,2700 Block Glenwood Ct,Vandalism
13378,2011-06-06 00:00:00,300 Block Oneida St,Trespassing
13379,2011-09-03 00:00:00,3000 Block Colorado Ave,Burglary
13380,2011-06-06 00:00:00,1600 Block 29th St,Theft From Vehicle
13381,2011-06-06 00:00:00,1400 Block Baseline Rd,Vandalism
13382,2012-07-22 00:00:00,200 Block Iroquois Dr,Theft From Vehicle
13383,2011-06-06 00:00:00,3600 Block Table Mesa Dr,Theft From Vehicle
13384,2011-06-06 00:00:00,1700 Block 29th St,Vandalism
13385,2011-06-06 00:00:00,900 Block Arapahoe Ave,Trespassing
13386,2011-06-06 00:00:00,1300 Block Mapleton Ave,Vandalism
13387,2011-06-06 00:00:00,28th St & Kalmia Ave,Vandalism
13388,2011-06-07 00:00:00,13th St & Rosewood Ave,Vandalism
13389,2011-05-30 00:00:00,900 Block Broadway,Burglary
13390,2011-06-01 00:00:00,1500 Block Broadway,Vandalism
13391,2011-06-01 00:00:00,Broadway & Cedar Ave,Vandalism
13392,2011-06-10 00:00:00,1300 Block Spruce St,Trespassing
13393,2011-06-09 00:00:00,2400 Block Broadway,Vandalism
13394,2011-06-09 00:00:00,3900 Block Broadway,Vandalism
13395,2011-06-09 00:00:00,2600 Block Colorado Ave,Burglary
13396,2012-10-30 00:00:00,4800 Block Thunderbird Cir,Theft From Vehicle
13397,2011-06-09 00:00:00,2900 Block Baseline Rd,Vandalism
13398,2011-06-09 00:00:00,3000 Block Birch Ave,Burglary
13399,2011-06-09 00:00:00,13th St & Pearl St,Vandalism
13400,2011-06-10 00:00:00,Baseline Rd & Broadway,Assault
13401,2012-06-29 00:00:00,1100 Block Pearl St,Assault
13402,2012-06-30 00:00:00,1700 Block Arapahoe Ave,Vandalism
13403,2012-07-01 00:00:00,2700 Block Arapahoe Ave,Vandalism
13404,2012-07-01 00:00:00,3000 Block Arapahoe Ave,Trespassing
13405,2012-07-05 00:00:00,2600 Block Mapleton Ave,Vandalism
13406,2012-06-30 00:00:00,2400 Block Baseline Rd,Trespassing
13407,2012-07-23 00:00:00,800 Block University Ave,Burglary
13408,2012-07-23 00:00:00,Arapahoe Ave & Broadway,Auto Theft
13409,2012-07-23 00:00:00,3900 Block Table Mesa Dr,Vandalism
13410,2012-07-22 00:00:00,200 Block Arapahoe Ave,Trespassing
13411,2012-07-23 00:00:00,1900 Block Walnut St,Vandalism
13412,2012-07-27 00:00:00,1500 Block Grove St,Theft From Vehicle
13413,2012-07-23 00:00:00,1000 Block Canyon Blvd,Trespassing
13414,2012-07-23 00:00:00,1800 Block Folsom St,Trespassing
13415,2012-07-20 00:00:00,1400 Block Pearl St,Vandalism
13416,2012-07-23 00:00:00,500 Block Mapleton Ave,Theft From Vehicle
13417,2012-11-06 00:00:00,2700 Block Valmont Rd,Trespassing
13418,2012-07-23 00:00:00,1800 Block Walnut Hollow Ln,Theft From Vehicle
13419,2012-07-24 00:00:00,1700 Block 13th St,Burglary
13420,2012-07-27 00:00:00,1100 Block Pleasant St,Burglary
13421,2012-07-27 00:00:00,1100 Block Balsam Ave,Trespassing
13422,2012-07-27 00:00:00,900 Block 14th St,Burglary
13423,2012-08-09 00:00:00,Crime occurred at an unknown location,Incident
13424,2012-08-09 00:00:00,2800 Block Pennsylvania Ave,Burglary
13425,2012-08-09 00:00:00,1600 Block Arapahoe Ave,Incident
13426,2012-08-09 00:00:00,3500 Block 28th St,Burglary
13427,2012-12-19 00:00:00,1400 Block Walnut St,Trespassing
13428,2012-08-09 00:00:00,2000 Block 8th St,Burglary
13429,2012-10-07 00:00:00,1100 Block 13th St,Trespassing
13430,2012-08-10 00:00:00,500 Block 30th St,Burglary
13431,2012-08-10 00:00:00,2900 Block Eagle Way,Burglary
13432,2012-08-11 00:00:00,1900 Block Pearl St,Theft From Vehicle
13433,2012-08-11 00:00:00,900 Block 10th St,Theft From Vehicle
13434,2012-08-11 00:00:00,1100 Block University Ave,Trespassing
13435,2012-08-11 00:00:00,5000 Block Valmont Rd,Vandalism
13436,2012-08-11 00:00:00,2900 Block Baseline Rd,Trespassing
13437,2012-08-11 00:00:00,11th St & Pearl St,Sex Assault
13438,2012-08-12 00:00:00,1100 Block Canyon Blvd,Trespassing
13439,2012-12-04 00:00:00,1100 Block Grandview Ave,Burglary
13440,2012-08-12 00:00:00,2500 Block Table Mesa Dr,Vandalism
