FID,REPORTDATE,BLOCKADD,OFFENSE
139,2011-08-04 00:00:00,1300 Block College Ave,Vandalism
140,2009-06-23 00:00:00,2800 Block 17th St,Burglary
141,2008-07-15 00:00:00,3300 Block St Vincent Pl,Theft From Vehicle
142,2008-09-16 00:00:00,19th St & Pearl St,Indecent Exposure
143,2011-09-26 00:00:00,1100 Block 13th St,Incident
144,2009-10-30 00:00:00,1600 Block Arapahoe Ave,Assault
145,2008-03-29 00:00:00,2000 Block Walnut St,Vandalism
146,2011-06-24 00:00:00,1600 Block Arapahoe Ave,Trespassing
147,2012-01-16 00:00:00,1800 Block 17th St,Theft From Vehicle
148,2010-09-13 00:00:00,3100 Block 28th St,Trespassing
149,2009-04-14 00:00:00,1400 Block Riverside Ave,Vandalism
150,2009-01-23 00:00:00,17th St & Athens St,Vandalism
151,2013-01-13 00:00:00,800 Block 17th St,Incident
152,2009-11-24 00:00:00,3000 Block E Euclid Ave,Burglary
153,2010-03-05 00:00:00,11th St & College Ave,Assault
154,2008-08-21 00:00:00,1200 Block Pleasant St,Vandalism
155,2008-07-01 00:00:00,3100 Block 17th St,Vandalism
156,2010-02-20 00:00:00,4700 Block 6th St,Burglary
157,2010-03-17 00:00:00,800 Block 18th St,Vandalism
158,2011-12-02 00:00:00,2800 Block E Aurora Ave,Burglary
159,2008-01-09 00:00:00,1600 Block Arapahoe Ave,Vandalism
160,2008-05-27 00:00:00,1800 Block 22nd St,Trespassing
161,2009-05-08 00:00:00,1000 Block Adams Cir,Trespassing
162,2008-05-18 00:00:00,800 Block 37th St,Vandalism
163,2008-02-25 00:00:00,1900 Block Goss St,Vandalism
164,2009-06-01 00:00:00,2400 Block Spruce St,Burglary
165,2008-01-04 00:00:00,28th St & Valmont Rd,Incident
166,2010-04-29 00:00:00,3000 Block 28th St,Trespassing
167,2008-04-11 00:00:00,1100 Block Pleasant St,Theft From Vehicle
168,2010-06-04 00:00:00,3000 Block Broadway,Theft Of Car Parts
169,2010-04-27 00:00:00,500 Block Manhatan Dr,Theft From Vehicle
170,2013-03-08 00:00:00,2200 Block E Grove Cir,Sex Assault
171,2009-09-04 00:00:00,3300 Block Table Mesa Dr,Trespassing
172,2009-01-23 00:00:00,700 Block Marine St,Burglary
173,2008-12-29 00:00:00,3600 Block Conifer Ct,Vandalism
174,2012-07-20 00:00:00,1900 Block Walnut St,Trespassing
175,2008-08-29 00:00:00,5555 Block Racquet Ln,Vandalism
176,2010-06-12 00:00:00,Amber St & Jay Rd,Vandalism
177,2009-11-02 00:00:00,3300 Block Valmont Rd,Vandalism
178,2009-07-21 00:00:00,1000 Block 11th St,Vandalism
179,2008-07-01 00:00:00,2900 Block Baylor Dr,Auto Theft
180,2009-01-22 00:00:00,1000 Block Pennsylvania Ave,Auto Theft
181,2009-06-22 00:00:00,1700 Block Broadway,Indecent Exposure
182,2010-07-12 00:00:00,2400 Block Linden Ave,Vandalism
183,2012-08-28 00:00:00,1900 Block 26th St,Vandalism
184,2010-05-01 00:00:00,13th St & Walnut St,Recovery
185,2011-05-15 00:00:00,2635 Block Mapleton Av,Vandalism
186,2010-04-30 00:00:00,1900 Block Walnut St,Burglary
187,2008-03-23 00:00:00,800 Block Arapahoe Ave,Trespassing
188,2010-04-11 00:00:00,2500 Block Pearl St,Vandalism
189,2011-12-17 00:00:00,2400 Block Canyon Blvd,Auto Theft
190,2011-12-01 00:00:00,S 45th St & Table Mesa Dr,Vandalism
191,2010-10-22 00:00:00,1100 Block 13th St,Theft From Vehicle
192,2010-10-27 00:00:00,1900 Block Pearl St,Trespassing
193,2011-06-12 00:00:00,1400 Block Canyon Bv,Trespassing
194,2011-02-22 00:00:00,1400 Block Yarmouth Ave,Vandalism
195,2008-02-29 00:00:00,3000 Block Walnut St,Vandalism
196,2008-07-05 00:00:00,600 Block S Broadway,Vandalism
197,2010-03-18 00:00:00,400 Block Manhatan Dr,Burglary
198,2009-07-31 00:00:00,2200 Block Pearl St,Trespassing
199,2011-01-15 00:00:00,2700 Block Baseline Rd,Trespassing
200,2009-06-25 00:00:00,1700 Block 6th St,Sex Assault
201,2009-05-28 00:00:00,1600 Block 9th St,Vandalism
202,2010-06-29 00:00:00,2600 Block Mapleton Ave,Vandalism
203,2012-08-04 00:00:00,900 Block Walnut St,Trespassing
204,2010-02-11 00:00:00,1100 Block Lincoln Pl,Vandalism
205,2008-07-29 00:00:00,5600 Block Arapahoe Ave,Vandalism
206,2009-03-04 00:00:00,3000 Block Madison Ave,Vandalism
207,2011-01-01 00:00:00,1100 Block Pearl St,Trespassing
208,2011-10-21 00:00:00,600 Block Marine St,Vandalism
209,2011-01-02 00:00:00,2800 Block Mapleton St,Incident
210,2009-06-07 00:00:00,900 Block Marine St,Burglary
211,2008-08-25 00:00:00,3100 Block Denton Ave,Indecent Exposure
212,2009-03-20 00:00:00,2800 Block E Aurora Ave,Vandalism
213,2008-11-18 00:00:00,Broadway & Grandview Ave,Sex Assault
214,2008-01-18 00:00:00,2500 Block Tamarack Ave,Vandalism
215,2009-06-11 00:00:00,2900 Block 5th St,Theft From Vehicle
216,2009-12-07 00:00:00,300 Block Hollyberry Ln,Sex Assault
217,2010-03-10 00:00:00,900 Block 16th St,Burglary
218,2010-01-20 00:00:00,700 Block 18th St,Theft From Vehicle
219,2008-10-18 00:00:00,1000 Block Grandview Ave,Burglary
220,2008-05-09 00:00:00,2900 Block Iris Ave,Auto Theft
221,2009-07-31 00:00:00,1000 Block 11th St,Vandalism
222,2008-10-03 00:00:00,2200 Block Norwood Ave,Indecent Exposure
223,2009-07-17 00:00:00,1000 Block Canyon Bv,Theft From Vehicle
224,2009-02-17 00:00:00,2800 Block 21st St,Vandalism
225,2009-06-16 00:00:00,4300 Block Clay Commons Ct,Burglary
226,2009-01-14 00:00:00,900 Block Grandview Ave,Vandalism
227,2010-01-15 00:00:00,22nd St & Grove Cir,Vandalism
228,2010-11-15 00:00:00,3100 Block 28th St,Vandalism
229,2012-07-16 00:00:00,1400 Block Canyon Blvd,Trespassing
230,2008-10-07 00:00:00,2400 Block 13th St,Vandalism
231,2008-02-28 00:00:00,2400 Block 13th St,Trespassing
232,2009-12-04 00:00:00,13th St & College Ave,Theft From Vehicle
233,2009-10-17 00:00:00,3000 Block Colorado Ave,Vandalism
234,2008-08-08 00:00:00,4700 Block Table Mesa Dr,Incident
235,2009-11-24 00:00:00,2500 Block Frontier Ave,Vandalism
236,2009-01-09 00:00:00,1800 Block Canyon Blvd,Burglary
237,2008-07-03 00:00:00,2800 Block 29th St,Sex Assault
238,2008-02-11 00:00:00,1500 Block Pearl St,Auto Theft
239,2010-04-30 00:00:00,1200 Block S Broadway,Vandalism
240,2008-09-26 00:00:00,3800 Block Elmhurst Pl,Vandalism
241,2009-05-19 00:00:00,2900 Block Pearl St,Trespassing
242,2009-08-20 00:00:00,1000 Block 11th St,Trespassing
243,2010-07-08 00:00:00,4800 Block Riverbend Rd,Auto Theft
244,2008-06-11 00:00:00,2100 Block 28th St,Vandalism
